Comment,Designator,Footprint,LCSC
StemmaQT-Qwiic (horizontal),"StQTQw1,StQTQw2",StemmaQT-Qwiic (horizontal),C145956
"Stemma-Grove (full size, horizontal)",StGr1,"Stemma-Grove (full size, horizontal)",C519170
