Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
StGr1,"Stemma-Grove (full size, horizontal)","Stemma-Grove (full size, horizontal)",51.53186,11.7,90.0,top
StQTQw1,StemmaQT-Qwiic (horizontal),StemmaQT-Qwiic (horizontal),28.01832,3.140646,0.0,top
StQTQw2,StemmaQT-Qwiic (horizontal),StemmaQT-Qwiic (horizontal),36.01832,3.140646,0.0,top
